provider_email,health_centre_name,start,end
toby@gmail.com,Sydney Children Hospital,9,11
toby@gmail.com,UTS Health Service,12,17
samuel@gmail.com,Prince of Wales Hospital,9,17
sid@gmail.com,Royal Prince Alfred Hospital,9,17
michael@gmail.com,UNSW Health Service,9,17
anna@gmail.com,UTS Health Service,9,12
thomas@gmail.com,Prince of Wales Hospital,9,17
ian@gmail.com,Sydney Children Hospital,9,17
gary@gmail.com,Sydney Children Hospital,9,13
anna@gmail.com,Sydney Children Hospital,13,14
anna@gmail.com,Prince of Wales Hospital,15,17
gary@gmail.com,USYD Health Service,14,17
